time in s,power in W
0,189.0
900,189.0
1800,386.8251962213438
2700,386.8251962213438
3600,189.0
4500,189.0
5400,189.0
6300,189.0
7200,386.8251962213438
8100,306.62225642914916
9000,306.62225642914916
9900,189.0
10800,189.0
11700,189.0
12600,358.995938319273
13500,189.0
14400,306.62225642914916
15300,189.0
16200,386.8251962213438
17100,358.995938319273
18000,189.0
18900,189.0
19800,189.0
20700,189.0
21600,198.0
22500,664.8623619637453
23400,846.4432916858241
24300,2581.9684615310975
25200,1749.7060158451714
26100,3777.8155410265344
27000,2904.0442161170236
27900,2874.435507254567
28800,1046.2607034759105
29700,4063.7201757293105
30600,738.6163942504882
31500,815.8916630145981
32400,831.8916630145981
33300,975.9377767858653
34200,781.3155203567161
35100,1691.0141856703594
36000,1069.408031672629
36900,936.1930511297427
37800,2823.1902864073395
38700,670.0402515926062
39600,907.8721005519805
40500,9366.921259753952
41400,4178.15368317652
42300,1135.8721005519806
43200,3838.8381628198035
44100,2774.5565801952644
45000,3054.609975490266
45900,6198.419336500389
46800,3239.480513713865
47700,3139.480513713865
48600,3168.3139291933653
49500,3041.691500150489
50400,900.52354409113
51300,1401.5235440911301
52200,1017.519482410403
53100,819.995938319273
54000,3008.3371096450346
54900,839.8251962213437
55800,734.2149805428865
56700,2777.315520356716
57600,2868.262236023358
58500,2798.7000276272406
59400,2907.6313234159365
60300,9561.694880739173
61200,1173.925495846982
62100,3019.040251592606
63000,1137.0402515926062
63900,4658.144519184558
64800,4067.7206618424393
65700,1634.107117286323
66600,3319.530974628441
67500,5226.526912947715
68400,1282.2991777371058
69300,1563.0402515926062
70200,3837.284618646044
71100,7044.775587085973
72000,9344.775587085973
72900,11500.096631371072
73800,3928.443224823469
74700,1568.1902864073397
75600,3220.317990874092
76500,3179.317990874092
77400,5176.317990874092
78300,5308.167956059358
79200,4172.838241110016
80100,3998.838241110015
81000,3682.663437331359
81900,3539.9882759247485
82800,789.1500348147335
83700,686.1500348147335
84600,976.9752310360773
85500,377.0
86400,289.0
87300,189.0
88200,189.0
89100,189.0
90000,3029.526325690166
90900,283.13652393464633
91800,283.13652393464633
92700,189.0
93600,390.01339143799225
94500,450.01339143799225
95400,289.0
96300,328.8115559829954
97200,189.0
98100,189.0
99000,283.13652393464633
99900,189.0
100800,390.01339143799225
101700,189.0
102600,189.0
103500,369.1958289146189
104400,189.0
105300,189.0
106200,189.0
107100,390.01339143799225
108000,390.01339143799225
108900,269.0
109800,1159.7971305823708
110700,1254.3337210837115
111600,643.7574447083041
112500,2884.7708361462965
113400,7373.137887819686
114300,7436.452224410282
115200,620.1365239346463
116100,574.0
117000,562.0
117900,634.0
118800,696.0
119700,971.8249474209877
120600,1047.8249474209877
121500,543.0
122400,409.0
123300,2674.8025723066858
124200,390.01339143799225
125100,189.0
126000,189.0
126900,189.0
127800,189.0
128700,189.0
129600,353.3277280285888
130500,614.4392713268976
131400,2890.45266276489
132300,4557.513366489564
133200,2757.661033459004
134100,515.0402666787259
135000,629.1767906133723
135900,756.0536581167181
136800,918.2783155902879
137700,759.2649241522956
138600,769.1806385359856
139500,780.1806385359856
140400,2750.955981062416
141300,787.9559810624158
142200,875.0536581167182
143100,4639.295862712011
144000,1115.212615046182
144900,3867.7389407363476
145800,3082.1723483674564
146700,4230.581870349367
147600,3185.719517843855
148500,5226.258434236778
149400,1259.6232605879345
150300,1369.6232605879345
151200,1437.6232605879345
152100,4073.3711547937482
153000,8786.897480483913
153900,3913.5076787283947
154800,5594.651139958198
155700,1173.2814635415334
156600,1311.89719060991
157500,1015.0722431889222
158400,3196.761185748871
159300,3453.6545818465283
160200,6114.368832480091
161100,3321.842506789925
162000,1094.7971388417368
162900,4876.898971579769
163800,1130.955981062416
164700,3818.352569721544
165600,5577.3391782835515
166500,3422.579026135755
167400,7219.996940591558
168300,2589.6977572844075
169200,4892.85881569184
170100,686.951927840255
171000,455.2246574735698
171900,560.0
172800,189.0
173700,189.0
174600,189.0
175500,189.0
176400,249.0
177300,2244.0
178200,2244.0
179100,261.0
180000,457.9542814902279
180900,261.0
181800,261.0
182700,261.0
183600,3565.0577962177035
184500,1012.9542814902279
185400,336.4918127923554
186300,273.0
187200,313.0
188100,532.9542814902279
189000,385.9542814902279
189900,189.0
190800,367.35511404217783
191700,189.0
192600,224.0
193500,2396.0142721874463
194400,2694.6138099790796
195300,639.6138099790797
196200,579.6138099790797
197100,760.9544131537626
198000,1697.3089423970569
198900,2097.652840066352
199800,3337.571946832775
200700,3271.740158738534
201600,1931.6496172180782
202500,4907.446182660144
203400,3473.29479368082
204300,6233.968227787322
205200,6405.22066261202
206100,5546.6634616071115
207000,3763.5764037341146
207900,3233.4564185658905
208800,2897.0
209700,926.0
210600,901.0
211500,979.0
212400,3971.4124487192475
213300,872.2755187078031
214200,659.0
215100,832.932300778355
216000,3675.780084186442
216900,345.97801928812714
217800,587.4801563637897
218700,667.5680914693077
219600,515.9542814902279
220500,251.0
221400,380.0
222300,380.0
223200,3185.673434106502
224100,3035.719152616274
225000,2975.719152616274
225900,2966.719152616274
226800,3722.0120777079314
227700,654.9542814902279
228600,3510.4124487192475
229500,2567.0
230400,6951.935542623681
231300,2010.832027896205
232200,909.5232171626826
233100,1076.1291274263021
234000,865.7514519743279
234900,915.4897728811504
235800,1260.8448869233282
236700,1080.4897728811504
237600,5891.9675063312625
238500,3797.9116561005435
239400,3942.1710109839887
240300,6233.662823776343
241200,2874.257777560071
242100,2525.3593463005627
243000,972.7614919591077
243900,1511.253304751463
244800,4743.0469696358
245700,1887.0469696358005
246600,1101.6138099790796
247500,1042.6138099790796
248400,4193.257382830307
249300,4229.257382830307
250200,1262.6599232186163
251100,5156.060385426983
252000,2891.761491959108
252900,907.1019634702559
253800,1042.5680914693075
254700,861.7614919591077
255600,863.7614919591077
256500,2605.989409459053
257400,674.7614919591077
258300,261.0
259200,189.0
260100,2737.256988007087
261000,2737.256988007087
261900,2737.256988007087
262800,3022.8612001257325
263700,189.0
264600,189.0
265500,326.60114533049307
266400,533.693623113481
267300,504.3515331272638
268200,297.2590553442759
269100,189.0
270000,326.60114533049307
270900,189.0
271800,396.0924777829879
272700,396.0924777829879
273600,189.0
274500,189.0
275400,474.60421211864536
276300,297.2590553442759
277200,249.0
278100,386.60114533049307
279000,309.0
279900,614.6042121186454
280800,718.6042121186454
281700,497.0
282600,345.0
283500,354.0
284400,581.6011453304931
285300,2421.3223004803062
286200,644.1971718316756
287100,701.8290063537678
288000,322.0
288900,691.0924777829879
289800,3663.81791732926
290700,487.60114533049307
291600,462.15478594126705
292500,502.15478594126705
293400,3462.8802254875395
294300,871.4543229415682
295200,951.4543229415682
296100,3076.454322941568
297000,2836.2098628699678
297900,565.0460052370438
298800,585.0460052370438
299700,460.9436980658003
300600,607.5448433962933
301500,591.0449424286597
302400,660.0449424286597
303300,710.0449424286597
304200,3234.3019304357467
305100,3528.0045058479845
306000,3188.012919278847
306900,3259.7569307227236
307800,589.154785941267
308700,529.154785941267
309600,449.15478594126705
310500,429.15478594126705
311400,616.2472637242549
312300,574.4999427156365
313200,236.0
314100,485.9915865691372
315000,2673.9436980658
315900,2751.5448433962933
316800,2017.2940522109714
317700,2144.6392089853407
318600,686.9915865691372
319500,523.1250565717721
320400,528.1250565717721
321300,863.7574913572764
322200,1147.656061275532
323100,4718.784256712315
324000,7508.111808548281
324900,3686.059564272789
325800,7855.143932557118
326700,9813.3966115485
327600,1289.9297030565367
328500,3257.955915212527
329400,852.5927318996303
330300,2071.959776086858
331200,5386.241942605735
332100,4535.556278605588
333000,3193.837798290722
333900,14447.175801246824
334800,2021.0848326586297
335700,7851.540475941325
336600,9401.765988488041
337500,3478.1171748296183
338400,4806.136319638828
339300,2050.3586307563646
340200,2518.9521114966633
341100,715.0
342000,2785.9915865691373
342900,1025.2888548401697
343800,1741.3586307563646
344700,3524.7725178138535
345600,189.0
346500,200.88361707408137
347400,260.88361707408137
348300,1422.1700933417817
349200,366.619904954662
350100,362.6589991086854
351000,189.0
351900,189.0
352800,249.0
353700,478.619904954662
354600,313.0
355500,189.0
356400,189.0
357300,189.0
358200,366.619904954662
359100,366.619904954662
360000,189.0
360900,189.0
361800,189.0
362700,362.6589991086854
363600,540.2789040633475
364500,366.619904954662
365400,209.0
366300,209.0
367200,309.0
368100,2631.790687049165
369000,2707.4105920038273
369900,2648.790687049165
370800,2565.790687049165
371700,1292.5501883871198
372600,693.460661273843
373500,638.2630822646285
374400,832.1633796874609
375300,3358.8291972342167
376200,915.3168978370217
377100,4361.345425068805
378000,1109.0872094784127
378900,5084.894597174828
379800,2767.1247849869014
380700,904.7105049084345
381600,951.7105049084345
382500,991.7105049084345
383400,5622.389741927016
384300,1522.2916670998306
385200,1236.9500652816314
386100,2135.6166365946697
387000,2077.7299179308025
387900,944.4043475090784
388800,1651.039033406863
389700,5436.912032863791
390600,7708.477031810628
391500,1336.8404072111389
392400,4558.0
393300,729.7698121879268
394200,557.0
395100,417.0
396000,587.0
396900,632.0
397800,764.6199049546619
398700,567.0
399600,890.0
400500,335.0
401400,758.8295643640779
402300,853.6478071535823
403200,4386.157303620929
404100,647.7105049084345
405000,887.5621040746763
405900,1209.4603121658006
406800,5545.754336079554
407700,2784.156796591642
408600,2070.8134927540677
409500,2128.3852823843404
410400,1024.4684566205863
411300,5778.976593189587
412200,3905.9765931895868
413100,3653.9765931895868
414000,3623.3917536430818
414900,929.1731419890906
415800,963.1731419890906
416700,2998.963829038256
417600,3405.583733992918
418500,5355.5837339929185
419400,5267.963829038255
420300,3906.5648956321725
421200,4210.1497351786775
422100,4210.76964013334
423000,4402.1497351786775
423900,7927.29851567452
424800,8076.29851567452
425700,6341.231524030685
426600,7001.851428985347
427500,4086.7565612226063
428400,4082.7565612226063
429300,2573.0
430200,2244.0
431100,261.0
432000,189.0
432900,219.81155798331878
433800,199.81155798331878
434700,359.8115579833188
435600,410.9554314129601
436500,189.0
437400,189.0
438300,189.0
439200,189.0
440100,189.0
441000,189.0
441900,333.43478124460813
442800,378.9554314129601
443700,378.9554314129601
444600,189.0
445500,209.0
446400,189.0
447300,378.9554314129601
448200,493.6931148144448
449100,189.0
450000,189.0
450900,189.0
451800,523.3902126575682
452700,524.65471458757
453600,303.7376834014847
454500,189.0
455400,189.0
456300,189.0
457200,376.0671935149935
458100,729.9487503461195
459000,365.2556355316747
459900,2507.2556355316747
460800,2502.2556355316747
461700,548.2556355316747
462600,746.2110669446348
463500,3881.8697650037752
464400,3938.9283896122947
465300,5031.067193514993
466200,1210.0671935149935
467100,1747.2110669446347
468000,1116.95543141296
468900,1848.8563996062035
469800,4922.244645533123
470700,4441.570025706805
471600,3354.0
472500,2893.621183469992
473400,1245.3142982844365
474300,952.6211834699919
475200,3523.4783013771194
476100,729.4347812446081
477000,4758.420725223128
477900,2775.9859439785205
478800,3566.7293496670177
479700,3168.7293496670177
480600,5301.023209415482
481500,5419.428632841627
482400,757.69928317461
483300,748.4347812446081
484200,442.0
485100,382.0
486000,3251.2226658454447
486900,3381.1780972584047
487800,710.2110669446348
488700,491.2556355316747
